Date : 2022-12-02 22:45:49
Directory : c:\Users\timid\Desktop\graphics\PyFlux
Total : 70 files,  5213 codes, 867 comments, 1278 blanks, all 7358 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\postprocessing\default.glsl               | GLSL             |          7 |          0 |          3 |         10 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\postprocessing\filmgrain.glsl             | GLSL             |         18 |          0 |          6 |         24 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\postprocessing\grayscale.glsl             | GLSL             |          9 |          0 |          3 |         12 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\postprocessing\inversion.glsl             | GLSL             |          7 |          0 |          3 |         10 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\postprocessing\volumetric\lightshaft.glsl | GLSL             |         35 |         12 |         10 |         57 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\preoccpass\frag.glsl                      | GLSL             |          5 |          0 |          1 |          6 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\preoccpass\vert.glsl                      | GLSL             |         12 |          0 |          3 |         15 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\sprite\unlit.glsl                         | GLSL             |         12 |          0 |          2 |         14 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\unlit.glsl                                | GLSL             |         14 |          0 |          3 |         17 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\uv.glsl                                   | GLSL             |         15 |          1 |          3 |         19 |
| c:\Users\timid\Desktop\graphics\PyFlux\resources\shaders\vertex.glsl                               | GLSL             |         25 |          3 |          5 |         33 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\collections\light.py                               | Python           |         10 |          0 |          3 |         13 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\collections\mesh.py                                | Python           |         10 |          0 |          3 |         13 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\component.py                                       | Python           |         35 |          0 |         11 |         46 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\audio.py                                | Python           |         76 |          7 |         13 |         96 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\boid.py                                 | Python           |        138 |         23 |         44 |        205 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\camera.py                               | Python           |        131 |          3 |         23 |        157 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\light.py                                | Python           |         65 |          0 |         15 |         80 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\mesh.py                                 | Python           |        318 |         42 |         92 |        452 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\modelRenderer.py                        | Python           |         67 |          3 |         21 |         91 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\postprocessing.py                       | Python           |        121 |         12 |         34 |        167 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\skybox.py                               | Python           |         36 |          1 |          9 |         46 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\sprite.py                               | Python           |         42 |          1 |         12 |         55 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\terrain.py                              | Python           |        274 |         30 |         60 |        364 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\components\transform.py                            | Python           |         82 |          0 |         21 |        103 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\constants.py                                       | Python           |          2 |          0 |          0 |          2 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\eventsystem.py                                     | Python           |         33 |          3 |          8 |         44 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\fileloader.py                                      | Python           |         76 |         33 |         18 |        127 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\gametime.py                                        | Python           |          2 |          0 |          0 |          2 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\globals.py                                         | Python           |          9 |          0 |          2 |         11 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\input.py                                           | Python           |         27 |          0 |          7 |         34 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\material.py                                        | Python           |         71 |          1 |         23 |         95 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\object.py                                          | Python           |         60 |          1 |         11 |         72 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\primitives.py                                      | Python           |        190 |         15 |          5 |        210 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\runtime.py                                         | Python           |        155 |         25 |         44 |        224 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\scene.py                                           | Python           |        103 |          1 |         19 |        123 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\shader.py                                          | Python           |         97 |         17 |         24 |        138 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\singleton.py                                       | Python           |         14 |         23 |          5 |         42 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\stdlib.py                                          | Python           |         21 |          0 |          4 |         25 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\texture.py                                         | Python           |         98 |         20 |         25 |        143 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\core\util.py                                            | Python           |          3 |          0 |          1 |          4 |
| c:\Users\timid\Desktop\graphics\PyFlux\src\main.py                                                 | Python           |        157 |         70 |         59 |        286 |
| Total                                                                                              |                  |      5,213 |        867 |      1,278 |      7,358 |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
